,,,,,,,,,,,,1,2,3,4,5,,,,,,
e99d6d74-2c5b-4fd0-9e12-2ea3dd09a0a7,5.044518738,9.219610053,4.632732938,10.64909618,7.514630562,12.49978916,13.82017708,10.75171666,4.677637838,12.94057574,,5.044518738,5.044518738,4.632732938,4.632732938,4.632732938,,,,,,
b24ba72a-78dd-4c45-b083-24f919da23fa,9.635541888,4.243690886,4.436264061,5.819458809,5.935074128,14.82884869,8.947382935,6.23458208,3.297001602,9.732981908,,9.635541888,4.243690886,4.243690886,4.243690886,4.243690886,,,,,,
0d494961-7c48-4bf0-ba74-77233c219978,9.243926641,7.238427152,4.034139904,10.66747302,5.835919265,7.43860695,7.997344927,8.444914477,9.064748559,9.905551119,,9.243926641,7.238427152,4.034139904,4.034139904,4.034139904,,,,,,
02031c9f-2748-44f4-813c-9893a21dd4ef,4.375687704,13.3888371,10.09763318,3.932412058,11.82376858,9.377208036,9.64827447,4.997855481,7.700589771,13.0788205,,4.375687704,4.375687704,4.375687704,3.932412058,3.932412058,,,,,,
c1c9df92-28a1-4a12-8ce2-18b03d8a5310,12.89080829,19.45850637,6.60049147,6.32403362,18.41449539,12.99846706,9.169815283,11.05578491,18.72680921,19.10136528,,12.89080829,12.89080829,6.60049147,6.32403362,6.32403362,,,,,,
ae67fe05-2d68-4de2-97a0-13a72bed6f49,6.773708278,8.934259965,15.12986042,9.83296609,16.67096444,16.39249225,3.077323418,17.14449234,21.0735899,3.426564567,,6.773708278,6.773708278,6.773708278,6.773708278,6.773708278,,,,,,
17c931ac-e1ab-4502-ada2-8488f8748c2f,4.093480326,10.46241405,9.807878605,14.52136551,16.96103495,16.42967141,17.58131533,7.655695559,4.589621157,10.99937163,,4.093480326,4.093480326,4.093480326,4.093480326,4.093480326,,,,,,
5ef08771-d7ae-431e-b6a5-130f7abe9a43,6.757067161,7.553071273,10.14543397,7.643555559,20.18340843,4.005448804,5.642550259,6.189211688,18.21455914,4.987173727,,6.757067161,6.757067161,6.757067161,6.757067161,6.757067161,,,,,,
72d42f67-882e-494f-bbd0-f4198af4d2ac,9.439299612,5.946954312,6.924438224,4.718099261,16.91345283,6.787601681,3.314772601,1.870096341,9.151042501,6.872665374,,9.439299612,5.946954312,5.946954312,4.718099261,4.718099261,,,,,,
e8998113-e9a6-4f14-8239-5cbb3e62c1da,15.45777767,15.10069505,10.82734089,21.60545633,15.7573163,10.29142757,17.51862831,5.825535188,20.81343689,13.21877157,,15.45777767,15.10069505,10.82734089,10.82734089,10.82734089,,,,,,
aa2fa788-d587-4be7-8575-ef6a64e8924c,2.340336811,7.305262845,10.11543668,4.481028676,8.86511678,19.64763367,5.442899177,21.60084219,7.730204985,8.163869986,,2.340336811,2.340336811,2.340336811,2.340336811,2.340336811,,,,,,
1f33b29e-d4e8-4889-8113-2043241bfe62,8.611467489,5.926760111,13.70763506,6.915457194,6.543332082,6.984991801,7.907262792,4.303351631,11.20513543,5.403158823,,8.611467489,5.926760111,5.926760111,5.926760111,5.926760111,,,,,,
dba9ae2f-ddd1-46bf-8fd7-1f7362d22647,15.12391441,9.958952458,6.387903129,6.940962054,11.6274677,11.44133626,8.918194446,15.3012855,8.940961356,11.90029149,,15.12391441,9.958952458,6.387903129,6.387903129,6.387903129,,,,,,
7fe8b013-901f-44a9-9db7-97c650973fd8,6.642917092,4.682318732,12.93346229,14.1021493,4.840303015,5.863222793,4.043332229,5.944990606,7.045784983,6.401064733,,6.642917092,4.682318732,4.682318732,4.682318732,4.682318732,,,,,,
96728a37-7a50-4057-8e7f-d967d166115a,6.754954337,9.534271387,8.120935265,15.15065166,2.747446236,6.005199561,12.26572131,9.897334369,11.98843959,5.151633177,,6.754954337,6.754954337,6.754954337,6.754954337,2.747446236,,,,,,
49e0f33b-9096-4d99-b5ed-5ab969f6985e,6.664536206,6.975432868,6.749868798,9.449430919,10.14964488,11.92945871,7.725119477,8.148567674,9.279649488,7.147383144,,6.664536206,6.664536206,6.664536206,6.664536206,6.664536206,,,,,,
bbfbdd1c-0456-4445-bfcb-b9ed2f5e470e,14.75689751,5.255608433,12.2454902,11.19211774,10.82682811,7.133844426,7.049196439,5.792889152,12.5278364,4.958214442,,14.75689751,5.255608433,5.255608433,5.255608433,5.255608433,,,,,,
07f9f0ce-3ca0-4ed6-9912-6490c19cf62e,5.293533977,2.342417764,2.74404897,13.07252977,11.68131016,9.561837922,7.167874896,2.652654336,9.267363037,5.568447178,,5.293533977,2.342417764,2.342417764,2.342417764,2.342417764,,,,,,
d3ad055e-f9f9-49ce-8c8c-aa6885776e47,11.18338536,7.753658912,7.730789532,9.096036445,7.370651837,4.741770665,7.187123996,11.46400626,5.255395209,3.441510034,,11.18338536,7.753658912,7.730789532,7.730789532,7.370651837,,,,,,
1b088643-80df-44b6-a892-7ad3797e6368,5.723163349,5.316783455,5.66655546,9.872031365,9.299803909,11.55792161,5.563900106,6.920545392,2.575463192,8.120199634,,5.723163349,5.316783455,5.316783455,5.316783455,5.316783455,,,,,,
d395a1eb-fdc8-4ae0-a35d-a447a83cd2f4,11.35444052,5.895591343,11.00676445,10.15456142,5.000663623,7.245829319,7.595898886,3.7185233,5.107694268,9.694738536,,11.35444052,5.895591343,5.895591343,5.895591343,5.000663623,,,,,,
5b281b06-c27e-49c3-bc13-d05b7d71f166,9.993465372,15.77338549,13.63452119,13.59789149,9.426848013,6.104789938,14.81084769,12.44815215,14.05534737,16.22449529,,9.993465372,9.993465372,9.993465372,9.993465372,9.426848013,,,,,,
4caa24b7-1542-4421-95b9-afb77914b255,10.08062797,5.092410651,13.75251599,9.040815404,6.384104847,13.29757287,9.548850129,18.16032363,12.4549955,11.13737203,,10.08062797,5.092410651,5.092410651,5.092410651,5.092410651,,,,,,
f79e9dea-3b57-4b71-ba5b-ee5c0b59dcde,4.004764405,1.776585621,10.79450204,4.726305035,5.11060968,9.811398055,4.733503023,17.14565847,14.18469586,8.885969162,,4.004764405,1.776585621,1.776585621,1.776585621,1.776585621,,,,,,
2accaaca-7ff6-4cf9-996a-33b30408ba03,8.703839942,5.732915867,4.807782247,5.006748114,7.127947977,10.55594617,12.40433098,7.181263948,10.34020511,5.684012039,,8.703839942,5.732915867,4.807782247,4.807782247,4.807782247,,,,,,
241030ca-10be-4892-89bf-a843f3a005a2,4.66619678,6.551597788,5.988786889,8.107461008,4.868935675,8.277630026,6.36468736,4.860283965,4.487783052,5.952951565,,4.66619678,4.66619678,4.66619678,4.66619678,4.66619678,,,,,,
0a2bfad8-dd88-4f03-aef2-dd9c31397211,8.894138414,8.392182376,9.736095405,10.16518648,12.16376096,5.576580582,4.575088764,5.392268312,7.738575694,9.237156319,,8.894138414,8.392182376,8.392182376,8.392182376,8.392182376,,,,,,
cc557093-450b-48ff-ba1d-5d2d0e319815,6.49861425,7.336600984,4.931262006,8.380214678,2.864246519,3.66618436,10.64440623,6.169668951,9.525618901,5.955066107,,6.49861425,6.49861425,4.931262006,4.931262006,2.864246519,,,,,,
368063e3-9af3-47b6-b1a5-04ffe3be647f,6.900256377,9.965782099,8.288051304,10.1903304,8.725082549,5.286585144,2.851723954,4.824359727,4.619840641,9.948425688,,6.900256377,6.900256377,6.900256377,6.900256377,6.900256377,,,,,,
69983d97-b071-4f4b-b6e3-ba3caf4889b3,3.523789408,11.92582971,5.625287708,11.92712699,9.547776675,6.064217716,9.40012374,13.18727194,5.870980565,14.35793824,,3.523789408,3.523789408,3.523789408,3.523789408,3.523789408,,,,,,
03ae5389-f2d0-4894-a434-3002edbe1a6c,5.197968962,11.03595444,5.788095461,12.66527387,3.846286088,3.682723333,11.79066431,12.16777081,8.844024315,5.964951597,,5.197968962,5.197968962,5.197968962,5.197968962,3.846286088,,,,,,
a53749ce-4e9b-4cd8-86e0-b3398a0bebd2,5.621736053,7.316316852,4.642305544,8.471726907,13.19618588,7.773453092,8.007611703,5.697813736,8.636256961,9.920312431,,5.621736053,5.621736053,4.642305544,4.642305544,4.642305544,,,,,,
3bc7beef-4159-4c83-ac8e-4f29fb08cd4f,8.35157755,9.748356026,4.892781853,8.08842611,8.062379565,8.692471928,8.487720663,5.692470445,14.09368444,9.1043639,,8.35157755,8.35157755,4.892781853,4.892781853,4.892781853,,,,,,
451232b2-f63b-4220-8034-09a72ed8a921,8.513493836,2.68749945,11.37574112,15.02644701,9.0554341,5.765564212,10.08280364,7.011911985,8.943786192,11.00762253,,8.513493836,2.68749945,2.68749945,2.68749945,2.68749945,,,,,,
d333baaf-f504-4557-8a8d-43ae64bc0f73,7.714961529,4.563402979,5.637138117,3.993935674,25.08493945,5.923508578,16.54492507,7.455168647,10.12783591,17.36662885,,7.714961529,4.563402979,4.563402979,3.993935674,3.993935674,,,,,,
5af4cbf2-8566-4066-94f8-70fa1d04e55d,15.56391594,8.092731531,14.87142183,8.3720339,9.555859511,6.512344269,10.16527168,4.997463175,5.977786646,8.187763161,,15.56391594,8.092731531,8.092731531,8.092731531,8.092731531,,,,,,
74c15c33-d66e-402d-a6ea-3a421aff2075,13.67004713,4.303244819,13.9841188,12.73150321,13.28643815,13.68806435,9.621037307,13.11773186,10.86443271,8.478316981,,13.67004713,4.303244819,4.303244819,4.303244819,4.303244819,,,,,,
52b0f5dd-cbe1-4421-b956-00aef9bfa00d,11.53614753,4.535251561,3.369354766,7.699414651,12.07705006,5.005243223,4.797733039,5.168104288,8.874284936,11.35882667,,11.53614753,4.535251561,3.369354766,3.369354766,3.369354766,,,,,,
ea362443-1e55-442c-b839-3d01f70096d9,4.652728956,5.601556612,5.855029532,8.628604986,6.047863944,8.441638897,3.734015233,11.50333928,3.349455423,9.440566395,,4.652728956,4.652728956,4.652728956,4.652728956,4.652728956,,,,,,
fb2f195e-8d92-407e-a12b-7ba842970082,7.294737722,4.364066999,5.941602848,9.308844169,3.939640216,5.860372437,7.200084622,9.127065288,5.475312364,5.899801409,,7.294737722,4.364066999,4.364066999,4.364066999,3.939640216,,,,,,
8550b45a-a8eb-4052-b5f6-b5189cfc8006,8.78026572,14.66030726,5.682660967,15.15168228,10.69434428,6.553599504,10.45773359,15.52626693,4.609197632,15.67057779,,8.78026572,8.78026572,5.682660967,5.682660967,5.682660967,,,,,,
9b13e748-9799-46a1-84da-a788d2e98972,4.471809954,8.50596649,6.368164455,5.483076849,8.444998995,7.789570254,5.746662448,7.210402305,6.407252396,10.41127374,,4.471809954,4.471809954,4.471809954,4.471809954,4.471809954,,,,,,
