,,,,,,,1,2,3,4,5
d970ce3b-62d0-4b60-a728-0a9d9fa00772,11.06060722,12.71374714,52.5642223,9.797143099,12.19486212,,11.06060722,11.06060722,11.06060722,9.797143099,9.797143099
4ed5f218-26d3-4a4f-9705-4eccf192783f,105.1570346,105.5921107,105.5921107,106.1543412,104.9264507,,105.1570346,105.1570346,105.1570346,105.1570346,104.9264507
118ce789-b39c-4e85-ad63-b1c4905aca15,12.41510366,6.81246781,10.20486882,99.8138899,11.63327743,,12.41510366,6.81246781,6.81246781,6.81246781,6.81246781
3394f060-fc69-4de6-a0b7-ffbcd8f85045,4.655556836,4.655556836,12.48154171,5.585948966,62.49534554,,4.655556836,4.655556836,4.655556836,4.655556836,4.655556836
71ec6bbf-89d2-47d7-b0df-9535edea231b,12.2134227,29.3351128,7.286895627,7.164973372,12.55739779,,12.2134227,12.2134227,7.286895627,7.164973372,7.164973372
d0faa91c-8723-4d76-b6de-662abf872fa1,8.262269742,14.37766928,48.27039,49.17365617,55.73476425,,8.262269742,8.262269742,8.262269742,8.262269742,8.262269742
1c9f7f31-503c-412f-bcd7-186d21d25266,52.54589614,52.54589614,23.9174913,17.59066165,6.539070792,,52.54589614,52.54589614,23.9174913,17.59066165,6.539070792
3afac8d5-e2f8-419c-8f59-5d6354444713,9.739660269,42.92855465,6.336696777,18.4077729,7.894060552,,9.739660269,9.739660269,6.336696777,6.336696777,6.336696777
a3553a9a-c4c3-4794-9c70-05f511505d42,6.056764855,17.89951206,18.69529382,20.22166571,20.22166571,,6.056764855,6.056764855,6.056764855,6.056764855,6.056764855
f83d6c04-4a47-4eca-872b-00595de8482c,6.666282523,6.666282523,68.66579436,47.16955225,9.976932618,,6.666282523,6.666282523,6.666282523,6.666282523,6.666282523
b59f1235-0348-4d5a-a1f4-397ac432bdb7,10.43696774,10.43696774,8.714919693,8.714919693,9.355910426,,10.43696774,10.43696774,8.714919693,8.714919693,8.714919693
d5a64037-0cf9-4424-87fc-ad15ad1c3487,35.49549185,35.27468691,33.31945032,32.02558401,31.71293068,,35.49549185,35.27468691,33.31945032,32.02558401,31.71293068
d826e578-4f6c-4828-b3ee-f089f7005a11,2.776064711,7.349024683,15.41585294,19.08961492,75.44265989,,2.776064711,2.776064711,2.776064711,2.776064711,2.776064711
b12f204e-5548-42a2-bd04-c9749adb796d,22.37629882,22.402941,51.69248039,63.37621423,16.60475426,,22.37629882,22.37629882,22.37629882,22.37629882,16.60475426
ce6f20d8-165c-42a2-accd-86d8ba0baeab,54.90598089,10.04728981,53.2240795,46.41683423,12.98625564,,54.90598089,10.04728981,10.04728981,10.04728981,10.04728981
3f19b37c-3026-4512-8edb-0e5cd47a9247,12.73790471,43.02409702,36.0206895,6.646069347,7.466848368,,12.73790471,12.73790471,12.73790471,6.646069347,6.646069347
e83322e9-310c-4607-9ab2-2dba637cb0ad,10.12771501,5.337012967,34.77657657,8.51895758,29.20450851,,10.12771501,5.337012967,5.337012967,5.337012967,5.337012967
fd6c5eea-ea24-447d-b99c-67c07a9d7c1d,48.14814775,64.68846085,12.47847706,31.3935471,12.53395788,,48.14814775,48.14814775,12.47847706,12.47847706,12.47847706
1f96ef95-d323-4a64-a724-f7fc7f084de0,11.41467455,61.76437475,18.2025587,14.35521462,19.21712812,,11.41467455,11.41467455,11.41467455,11.41467455,11.41467455
e2c0affa-4eea-4dd0-9234-feb3a7d04181,16.72755849,9.22551814,24.96419738,12.69611316,20.40115489,,16.72755849,9.22551814,9.22551814,9.22551814,9.22551814
bd3a1940-289c-4193-9287-768ae4e5d6a7,16.65338589,17.7311733,18.27649637,15.66106787,13.39049847,,16.65338589,16.65338589,16.65338589,15.66106787,13.39049847
a5e1a73a-e052-426a-b2d2-05be87383856,34.6965143,99.39838507,24.05887105,5.241767433,99.64846972,,34.6965143,34.6965143,24.05887105,5.241767433,5.241767433
a8150a80-a836-4de4-8d1f-0b49501416e5,10.56373093,15.63273578,12.2314933,10.85774503,8.870697569,,10.56373093,10.56373093,10.56373093,10.56373093,8.870697569
eea97df2-5146-49eb-a0e1-ba09f3e93e67,10.02689953,19.32761867,3.190222712,9.707617922,4.930300188,,10.02689953,10.02689953,3.190222712,3.190222712,3.190222712
2b3fbaf1-ac6c-4e20-b33b-4f21e7ede447,9.030972878,88.04584139,3.850827054,17.11110185,96.76274027,,9.030972878,9.030972878,3.850827054,3.850827054,3.850827054
616d2b55-8cb4-4a4d-8cdf-dd92ff3e015c,9.535939718,13.62133268,77.86475195,77.86475195,46.68446728,,9.535939718,9.535939718,9.535939718,9.535939718,9.535939718
59ed5823-aaa1-44fd-8060-528d43bb16be,8.731036175,4.043444441,9.44335408,6.571138884,16.91227888,,8.731036175,4.043444441,4.043444441,4.043444441,4.043444441
7f8e927a-25ba-456b-acdb-ae0f6ec7b613,38.01125093,16.02245997,8.601850204,3.976438618,13.03996064,,38.01125093,16.02245997,8.601850204,3.976438618,3.976438618
c9545da0-9c13-417f-8d36-0d5082456bd6,38.19692008,3.03837885,36.62933165,38.1103156,19.59293634,,38.19692008,3.03837885,3.03837885,3.03837885,3.03837885
07ce828e-7933-4c9d-b89f-e4efad41385a,15.24149559,5.491176281,11.67855,14.11292565,11.3962909,,15.24149559,5.491176281,5.491176281,5.491176281,5.491176281
b5b03bba-672b-4c89-b407-9a850364c09d,3.329555988,8.899776025,4.394726296,11.16345667,15.27828622,,3.329555988,3.329555988,3.329555988,3.329555988,3.329555988
9e4edbc1-43c1-48a6-9b0f-64bf57f2aebb,4.568685057,7.511375049,7.782901172,8.611336919,9.568782208,,4.568685057,4.568685057,4.568685057,4.568685057,4.568685057
6278c965-71a0-47dd-a5db-9b23dcc9021d,9.485090678,4.863161661,8.801639631,10.03965793,19.88418234,,9.485090678,4.863161661,4.863161661,4.863161661,4.863161661
7ed9648f-aa15-429d-bc58-5e1c2d890846,12.17133028,45.70275696,18.93504693,27.4785308,27.26053495,,12.17133028,12.17133028,12.17133028,12.17133028,12.17133028
abb9c493-717b-4869-a2e9-009ec16d81a2,10.07858276,87.66910119,4.885745441,75.85902068,16.16688188,,10.07858276,10.07858276,4.885745441,4.885745441,4.885745441
1d2ba557-aa44-4e9e-9f6d-3c368dfe8047,9.415609199,6.999549456,18.98455335,74.24402877,95.48332258,,9.415609199,6.999549456,6.999549456,6.999549456,6.999549456
7cc6b6ca-eae5-4093-9c09-12a5d714beb3,54.2683843,3.781237639,6.864233435,28.80458898,27.67654646,,54.2683843,3.781237639,3.781237639,3.781237639,3.781237639
