,,,,,,,,,,,,1,2,3,4,5
0fa9f39c-d7eb-45bb-989c-81ade81cce1c,11.84984299,20.18591603,9.868925397,27.1879708,11.06429297,33.98190641,9.491679773,13.27477033,4.531034884,18.90098664,,11.84984299,11.84984299,9.868925397,9.868925397,9.868925397
47d3bfca-f08b-4a26-9fec-ed14159119e3,17.33804074,37.87029675,32.02647515,19.10426994,68.01672486,26.10020504,25.08937977,16.88281964,62.43113183,26.89658951,,17.33804074,17.33804074,17.33804074,17.33804074,17.33804074
e742f307-37f6-4c4f-ba6b-826a917425fb,12.1387298,15.16141614,32.58089368,21.06879715,13.88821764,21.87986248,44.94300308,20.72216471,28.80564358,48.72218293,,12.1387298,12.1387298,12.1387298,12.1387298,12.1387298
c8de7735-d8e9-4e44-a094-2d84fe98d2c6,6.929376448,15.16508454,23.53025768,31.11577449,7.495791191,7.507888599,7.388887154,10.66379217,7.544792481,13.66533584,,6.929376448,6.929376448,6.929376448,6.929376448,6.929376448
c3de780b-6000-4ed5-abb1-052210f32ede,51.39586396,23.79820153,19.18056652,10.11970554,3.96030556,11.74804142,2.555059884,9.873234326,2.907522679,34.12443714,,51.39586396,23.79820153,19.18056652,10.11970554,3.96030556
daba3881-78ec-4434-88c5-3584181d2245,25.44590343,20.17996302,39.64325695,27.27340853,20.61071009,25.83610293,4.330990303,22.24859165,55.91354843,22.83749342,,25.44590343,20.17996302,20.17996302,20.17996302,20.17996302
5ae1bb88-c130-4e76-88da-ed1d5ab40332,22.37810335,17.33047614,56.70207542,9.980230875,18.50685811,11.6750852,6.286607012,12.02686216,8.956648204,29.42489428,,22.37810335,17.33047614,17.33047614,9.980230875,9.980230875
981fe6a8-50b9-42a6-aef9-d220c4591654,9.741239267,24.5434955,41.99703272,27.5458212,27.15865566,26.54775569,29.56192625,39.41622647,39.41622647,25.05125823,,9.741239267,9.741239267,9.741239267,9.741239267,9.741239267
43de29d0-0f7f-474c-bc5d-d91976c5d6a7,3.551936904,5.90278854,18.76172587,12.86027321,5.548797737,17.73840343,7.002311188,11.14280804,5.245394869,9.233086555,,3.551936904,3.551936904,3.551936904,3.551936904,3.551936904
8eec51bd-b3ca-4a45-98a0-ef2195b8e995,12.58340167,4.433771631,13.0935054,4.437683393,15.02009624,17.55081503,4.115732804,17.36389815,6.878606154,27.44686325,,12.58340167,4.433771631,4.433771631,4.433771631,4.433771631
e01e404e-9501-46e4-b298-a2aab2d1ab2d,7.553605047,7.553605047,25.28568159,11.18551554,9.84160189,87.46694572,8.696373243,13.61639059,4.56375055,4.56375055,,7.553605047,7.553605047,7.553605047,7.553605047,7.553605047
774303ac-0f2e-4e90-a957-17ee8a4e882a,23.4523819,35.02625349,11.25050912,13.5377717,44.82829988,37.94640201,41.21218766,31.97095099,29.86248483,17.34757664,,23.4523819,23.4523819,11.25050912,11.25050912,11.25050912
62e0e41d-aaae-4e39-a81a-21f4feda9d21,32.21483805,35.3436674,14.7636054,26.00173736,20.85595504,3.511642713,28.83988291,44.61893741,40.99195725,12.98137437,,32.21483805,32.21483805,14.7636054,14.7636054,14.7636054
2ba107da-eb33-46be-b5cc-ab9c5dbda5c7,32.71680386,42.23580263,4.171999075,60.74184287,51.58789424,31.41563326,57.16084497,62.47063497,29.71488639,5.952210227,,32.71680386,32.71680386,4.171999075,4.171999075,4.171999075
136c0711-c9e4-4c22-bbd1-3a10e01b41ec,59.91302962,18.99720567,85.62798227,85.62798227,40.37852335,71.96257713,24.00867141,33.40766383,20.69240024,17.76921987,,59.91302962,18.99720567,18.99720567,18.99720567,18.99720567
3c4e607a-45ab-4ee0-b7bd-7f53690edee4,6.037288353,14.98685861,10.44320372,16.46692068,13.40288791,56.56338703,8.301197603,9.848251576,70.44542217,10.09721543,,6.037288353,6.037288353,6.037288353,6.037288353,6.037288353
4fad1d2f-db11-4e47-adf3-8a4c1bac64cd,42.55016005,70.35801513,35.71130443,33.03437116,13.87819629,42.8418496,14.31095004,13.86564702,49.8603064,14.95608246,,42.55016005,42.55016005,35.71130443,33.03437116,13.87819629
